Company Name,Symbol,Year,Month,Day,Closing Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Andrew Peller Limited,ADW-A,2021,3,2,10.59,Consumer Defensive,Beverages—Wineries & Distilleries,478200000.0,13.97,N/A,1.7,0.0219,0.20679999999999998,23.240043057050592
Bausch Health Companies Inc.,BHC,2021,3,2,40.74,Healthcare,Drug Manufacturers—Specialty & Generic,14490000000.0,N/A,N/A,24.65,N/A,0.0,N/A
Canoe EIT Income Fund,EIT-UN,2021,3,2,10.55,Financial Services,Asset Management,1260000000.0,N/A,N/A,1.2,0.11470000000000001,N/A,N/A
Slate Grocery REIT,SGR-U,2021,2,26,9.31,N/A,N/A,N/A,9.53,N/A,0.97,N/A,N/A,9.2441
Canadian National Railway Company,CNR,2021,3,2,141.41,Industrials,Railroads,100440000000.0,28.28,N/A,5.11,0.0174,0.46,142.0393159032829
Innergex Renewable Energy Inc.,INE,2021,3,2,23.89,Utilities,Utilities—Renewable,4170000000.0,N/A,7.43,4.75,0.0297,N/A,N/A
Andlauer Healthcare Group Inc.,AND,2021,3,2,37.79,Healthcare,Medical Distribution,1420000000.0,38.56,N/A,15.06,0.0049,0.2152,577.8819783062992
Metro Inc.,MRU,2021,3,2,53.61,Consumer Defensive,Grocery Stores,13320000000.0,16.59,2.05,2.15,0.0189,0.2786,35.00687015408774
GURU Organic Energy Corp.,GURU,2021,3,2,15.77,Consumer Defensive,Packaged Foods,455880000.0,N/A,N/A,13.58,N/A,0.0,N/A
Artis Real Estate Investment Trust,AX-UN,2021,3,2,11.57,Real Estate,REIT—Diversified,1550000000.0,5785.0,N/A,0.74,0.048799999999999996,N/A,4081.7124332570556
Maple Leaf Foods Inc.,MFI,2021,3,2,25.77,Consumer Defensive,Packaged Foods,3170000000.0,28.01,4.17,1.64,0.0276,0.7033,44.70260801868431
,CWEB-WR,2021,2,4,0.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pizza Pizza Royalty Corp.,PZA,2021,3,2,9.85,Consumer Cyclical,Restaurants,242490000.0,12.31,N/A,1.1,0.067,0.9213,12.690721649484539
goeasy Ltd.,GSY,2021,3,2,127.02,Financial Services,Credit Services,1880000000.0,14.49,N/A,4.24,0.0213,0.20550000000000002,60.15627141877999
SilverCrest Metals Inc.,SIL,2021,3,2,10.5,Basic Materials,Other Precious Metals & Mining,1520000000.0,N/A,N/A,6.42,N/A,0.0,N/A
AutoCanada Inc.,ACQ,2021,3,2,29.5,Consumer Cyclical,Auto & Truck Dealerships,810060000.0,N/A,-2.0,2.54,N/A,N/A,N/A
Ceres Global Ag Corp.,CRP,2021,3,2,4.24,Industrials,Specialty Business Services,130479999.99999999,201.9,N/A,0.9,N/A,0.0,181.71
Wilmington Capital Management Inc.,WCM-B,2021,1,29,4.3,Financial Services,Asset Management,47900000.0,N/A,N/A,0.94,0.23809999999999998,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,3,2,51.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tervita Corporation,TEV,2021,3,2,3.72,Healthcare,Drug Manufacturers—Specialty & Generic,420760000.0,N/A,232.15,2.01,N/A,0.0,N/A
Spin Master Corp.,TOY,2021,3,2,36.01,Consumer Cyclical,Leisure,3670000000.0,136.92,3.71,4.53,N/A,0.0,620.2476
Savaria Corporation,SIS,2021,3,2,17.79,Industrials,Specialty Industrial Machinery,906320000.0,32.05,42.28,3.24,0.027000000000000003,0.8387,101.11197663096398
Village Farms International Inc.,VFF,2021,3,2,20.15,Consumer Defensive,Farm Products,1570000000.0,N/A,N/A,7.13,N/A,0.0,N/A
Russel Metals Inc.,RUS,2021,3,2,24.8,Industrials,Industrial Distribution,1540000000.0,63.59,1.57,1.79,0.0613,3.8974,107.25157825308585
